Timestamp,Quiz_Size,Number_of_Questions,Questions_Asked,Total_Time,Quiz_Points,Motor_Time
2025-04-10T16:41:56.910302,15,5,"['', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '', '']","['', '0', '0', '2192', '0', '1493', '0', '0', '1098', '2551', '0', '2724', '0', '0', '0', '0', '', '']",28248,800,-200
2025-04-10T17:41:55.907629,15,5,"['', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '', '']","['', '0', '0', '482', '0', '733', '0', '0', '829', '674', '0', '537', '0', '0', '0', '0', '', '']",20378,800,-200
2025-04-10T18:03:03.268647,15,5,"['', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '', '']","['', '0', '0', '2950', '0', '1059', '0', '0', '1057', '3742', '0', '14163', '0', '0', '0', '0', '', '']",250642,800,-200
2025-04-10T18:05:47.437054,15,5,"['', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '', '']","['', '0', '0', '1006', '0', '699', '0', '0', '1142', '10766', '0', '15139', '0', '0', '0', '0', '', '']",89097,800,-200
2025-04-10T18:10:27.907586,15,5,"['', '1', '0', '1', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '', '']","['', '249505', '0', '1006', '0', '675', '792', '0', '1142', '1868', '0', '15139', '0', '465', '0', '0', '', '']",369639,1000,0
2025-04-10T18:10:55.266186,15,5,"['', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '', '']","['', '249505', '0', '1006', '0', '1171', '792', '0', '2', '2', '0', '2', '0', '514', '0', '0', '', '']",396979,400,-600
2025-04-10T18:27:49.779102,15,5,"['', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '', '']","['', '0', '0', '1282', '0', '1115', '0', '0', '818', '976', '0', '754', '0', '0', '0', '0', '', '']",70810,800,-200
2025-04-10T18:28:22.288569,15,5,"['', '1', '0', '1', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '', '']","['', '579', '0', '1282', '0', '506', '699', '0', '818', '897', '0', '754', '0', '763', '0', '0', '', '']",103300,1200,200
2025-04-10T18:28:58.651031,15,5,"['', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '', '']","['', '579', '0', '1282', '0', '671', '699', '0', '414', '814', '0', '2164', '0', '1117', '0', '0', '', '']",139648,800,-200
2025-04-10T18:29:32.031976,15,5,"['', '0', '0', '1', '1', '1', '0', '0', '0', '0', '1', '1', '1', '0', '0', '0', '', '']","['', '579', '0', '2054', '2', '2039', '699', '0', '414', '814', '1834', '2801', '0', '1117', '0', '0', '', '']",173041,400,-600
2025-04-10T18:30:22.368482,15,5,"['', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '1', '1', '0', '0', '0', '', '']","['', '579', '0', '4417', '2', '2039', '1004', '0', '2103', '814', '1834', '736', '10294', '1117', '0', '0', '', '']",223380,400,-600
2025-04-10T18:34:03.849471,15,15,"['', '0', '0', '1', '0', '1', '0', '0', '1', '1', '1', '1', '0', '0', '0', '0', '', '']","['', '0', '0', '15120', '0', '1012', '0', '0', '763', '3660', '0', '1144', '0', '0', '0', '0', '', '']",54725,2000,200
2025-04-10T18:35:06.482927,15,15,"['', '1', '0', '1', '0', '1', '1', '0', '0', '1', '0', '0', '0', '1', '0', '0', '', '']","['', '1090', '0', '15120', '0', '3', '17109', '0', '763', '3', '0', '1144', '0', '704', '0', '0', '', '']",117353,2000,0
2025-04-10T18:35:50.785294,15,15,"['', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1', '0', '1', '0', '0', '', '']","['', '1090', '0', '15120', '0', '2218', '17109', '0', '776', '816', '0', '708', '0', '117', '0', '0', '', '']",161680,2000,-200
2025-04-10T19:34:26.212039,25,5,"['', '0', '0', '0', '0', '0', '1', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '', '']","['', '0', '0', '0', '0', '0', '25800', '0', '1271', '1229', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3210', '2366', '', '']",50105,1600,0
